Year,Year Code,Country Name,Country Code,GDP,Compulsory years - legal,Entrance age to education,Govt Expenditure (USD),GER - tertiary education,GER - Primary,Overall Labour Force,Labor force - advanced education,Labor force - basic education,Early childhood enrollment,Early childhood enrollment - pre primary,GER - tertiary -Male,GER - tertiary -Female,Net flow - international students,Outbound mobility ratio,Youth literacy rate,Unemployment,"Unemployment, male","Unemployment, female",Percentage with no schooling - adults,Net enrollment rate,Net enrollment rate - upper secondary,Teachers - secondary education
2008,YR2008,Argentina,ARG,9020.873098,12,5,17515.3357,68.05695,118.59346,17877897,83.85220337,52.21070099,1513537,1429412,54.44815,81.85146, ,0.40602,99.474685,7.836999893,6.501999855,9.720000267,1.21121,99.81723,82.91404,153249
2008,YR2008,Brazil,BRA,8831.023117,8,7,89350.355,35.5621,132.05521,93486539,83.61949921,64.72319794,6784955,5015087,31.06568,40.17341,-12864,0.47401,98.46722,7.342999935,5.421000004,9.94699955,13.74045,98.53831,83.32669,786692
2008,YR2008,Chile,CHL,10751.47967,12,6,6812.65556,56.73127,107.54435,7731123,83.6013031,48.66871948,402496,402496,55.94932,57.53768,2681,1.17745,99.15065,9.284999847,7.486999989,12.10000038,0.92009,97.37041,88.91521,23716
2008,YR2008,United Kingdom,GBR,47286.99849,11,5,151735.9338,56.64391,105.06189,31668286,85.23609924,57.80929947,1108148,1108148,47.6475,65.9523,319671,0.94955,95.234,5.614999771,6.061999798,5.084000111,0.24353,98.97176,90.7296,152096
2008,YR2008,Switzerland,CHE,72487.83471,9,5,26986.38445,48.83328,102.54068,4410564,83.11440277,49.2942009,151699,151699,49.0464,48.61576,20991,4.7734,99.1028,3.349999905,2.819999933,3.96600008,0.1999,99.01676,82.07011,33340
2008,YR2008,Spain,ESP,35366.2596,10,6,73591.08833,69.74542,104.6608,23073217,82.67520142,48.28129959,1834423.833,1381511.667,62.48522,77.39692,14505,1.3038,99.58398,11.25399971,10.05500031,12.84000015,2.63318,99.99068,86.60961,186944
2008,YR2008,Mexico,MEX,10016.5713,9,4,53502.22454,26.11203,109.42442,47053017,83.16410065,58.50460052,4756870,4756870,26.48113,25.75689,-18756,1.01302,98.99595,3.874000072,3.780999899,4.037000179,10.05405,99.93155,57.48789,382753
2008,YR2008,Japan,JPN,39339.29757,9,6,149868.6073,48.67157,99.9989,67100796,82.232,71.33834415,3606830,3031927,44.5085,52.89156,75886,1.2868,95.2342,4,4.125,3.822999954,1.9873,97.95392,53.98777,263446
2008,YR2008,Germany,DEU,45427.15168,13,6,165462.1816,56.76541,104.02398,41886218,73.40779877,37.75460052,2679832,2147381,53.99823,48.3322,56987,5.443,99.58398,7.524000168,7.421999931,7.649000168,0,97.46986,94.08061,409129
2008,YR2008,France,FRA,45334.11444,10,6,130432.1,52.47552,103.62215,29401083,78.50610352,35.45769882,2570041,2570041,46.39921,58.71416,196439,2.17122,99.12422,7.063000202,6.723999977,7.443999767,0.00047,99.49644,93.30324,236700
2008,YR2008,China,CHN,3468.304463,9,6,15759.4,20.68412,100.74244,773615098,82.43,85.32,23488300,23488300,20.52263,20.85634,-407064,1.71627,99.673423,4.586999893,5.071000099,3.977999926,7.2342,98.34,89.34,3628357
2008,YR2008,Singapore,SGP,40007.46926,6,6,5002.32234,79.4387,98.2322,2790771,85.85224491,71.33834415,2540140,1727778.4,44.5085,52.89156,21507,9.51204,99.87828778,3.960000038,3.644000053,4.421000004,0.0245,99.98456,99.9345,136553
2008,YR2008,Malaysia,MYS,8474.586829,6,6,9136.81787,33.43948,97.9803,11632624,60.12,60.34,771225,771225,28.74731,38.40127,-14868,6.09151,98.9923,3.339999914,3.163000107,3.673000097,10.8912,95.06773,64.1894,263446
